"text_group","keyword","n"
"Drink Regularly","30",1
"Try Drugs","30",0
"Wear Makeup","30",0
"View Porn","30",0
"R-Rated Movie","30",1
"Have Sex","30",0
"Social Media","30",0
"Smartphone","30",1
"Try Alcohol","30",0
"Bedroom TV","30",0
"Unsupervised Parties","30",0
"Swear","30",0
"Bedroom Computer","40",0
"Start Dating","40",1
"Drink Regularly","40",0
"Try Drugs","40",0
"Wear Makeup","40",0
"View Porn","40",0
"R-Rated Movie","40",1
"Have Sex","40",0
"Social Media","40",0
"Smartphone","40",1
"Try Alcohol","40",0
"Bedroom TV","40",0
"Unsupervised Parties","40",0
"Swear","40",0
"Bedroom Computer","50",1
"Start Dating","50",0
"Drink Regularly","50",0
"Try Drugs","50",0
"Wear Makeup","50",0
"View Porn","50",0
"R-Rated Movie","50",0
"Have Sex","50",0
"Social Media","50",0
"Smartphone","50",0
"Try Alcohol","50",0
"Bedroom TV","50",0
"Unsupervised Parties","50",0
"Swear","50",0
